,content,sentiment
1,Layin n bed with a headache  ughhhh...waitin on your call...,sadness
2,Funeral ceremony...gloomy friday...,sadness
3,wants to hang out with friends SOON!,enthusiasm
4," We want to trade with someone who has Houston tickets, but no one will.",neutral
5,Re-pinging : why didn't you go to prom? BC my bf didn't like my friends,worry
6,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness
7,Hmmm. http://www.djhero.com/ is down,worry
8, Charlene my love. I miss you,sadness
9, I'm sorry  at least it's Friday?,sadness
10,cant fall asleep,neutral
11,Choked on her retainers,worry
12,Ugh! I have to beat this stupid song to get to the next  rude!,sadness
13, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,sadness
14,Got the news,surprise
15,The storm is here and the electricity is gone,sadness
16, agreed,love
17,So sleepy again and it's not even that late. I fail once again.,sadness
18, lady gaga tweeted about not being impressed by her video leaking just so you know,worry
19,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness
20, oh too bad! I hope it gets better. I've been having sleep issues lately too,worry
21,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",fun
22,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via ) #topicmaps,neutral
23,I ate Something I don't know what it is... Why do I keep Telling things about food,worry
24,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sadness
25,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,worry
26,"  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",sadness
27,Damm servers still down  i need to hit 80 before all the koxpers pass me,worry
28,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sadness
29,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,worry
30,It is so annoying when she starts typing on her computer in the middle of the night!,hate
31, i cant sleep,neutral
32,I missed the bl***y bus!!!!!!!!,neutral
33,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral
34,SoCal!  stoked. or maybe not.. tomorrow,neutral
35,Screw you ! I only have 3 weeks...,neutral
36, yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,sadness
37,I need skott right now,worry
38,has work this afternoon,neutral
39, Aw you would not unfollow me would you? Then I would cry,neutral
40,mmm much better day... so far! it's still quite early. last day of #uds,happiness
41, &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,fun
42,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,worry
43,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,worry
45,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",worry
46," Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",worry
47,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sadness
48,", oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",neutral
49,wnna take a bath!!!!,neutral
50,Chocolate milk is so much better through a straw. I lack said straw,neutral
51,why am i so tired?,worry
53," time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",neutral
54,  no way! damn that sucks B!  are you ok?,neutral
55,sucks not being able to take days off of work or have the money to take the trip  so sad,worry
56,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",enthusiasm
57, the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,neutral
58, But I got dibs on Sulu...,neutral
59," Aww  Onward and upwards now, yay! Still sad to leave I bet.",sadness
60, at once haha.  poor aby still gets sore!,worry
61,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
62,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sadness
63,  in all honesty...pain   blech.,sadness
64,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
65,At home alone with not much to do,neutral
66, ia so much! i haven't really been happy with any of cooks choices for singles.,worry
67,   i fell asleep on the beach and didn't put on enough sunscreen  lol,sadness
68,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,worry
69,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",happiness
70,I cant give  any bday nudges.,neutral
71,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',worry
72,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,neutral
73,says I miss plurking.  http://plurk.com/p/wxion,neutral
74,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",worry
75,I miss Voobys!,neutral
76, Neither are ELP!!,neutral
77,"  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",happiness
78,is sad that shin ae got married...and it wasn't to alex,worry
79," Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",worry
80, ohh thursday i have exams.. all day  what about wednesday ?,sadness
81,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral
82,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sadness
83,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",worry
84, I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,sadness
85,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,worry
86,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,hate
87, i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,worry
88,I can't sleep...I keep thinking about the puppy I played with today,worry
89,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,worry
90, what's going on sweetheart?,neutral
91,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",neutral
92,"Last one month due to summer, strawberry is not availble in the Chennai markets!",worry
93, work at 6am. Gotta go to bed soon,neutral
94, correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,love
95, hiii im on my ipod...i cant fall asleep,sadness
96,dont wanna work 11-830 tomorrow  but i get paid,sadness
97,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sadness
98,PrinceCharming,neutral
99,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,hate
100,First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),worry
101, You win ... SIGH Rakeem,hate
102,Oh is that time for real?,neutral
103,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,sadness
104,Oh no one minute too late! Oh well,worry
105," Damn, that sucks",hate
